date,month,day_of_week,day_of_month,wind_speed,pressure,humidity,average_temp,max_temp,min_temp
2012-10-01,10,0,1,3,1009,74,13.14085412,13.1753381,13.11
2012-10-02,10,1,2,3,1001.5,46.5,14.24739028,16.46,13.18231556
2012-10-03,10,2,3,3,1012,68,14.176875,18.87,10.29
2012-10-04,10,3,4,3,1000,87,15.06791667,16.32,13.96
2012-10-05,10,4,5,3,1018,87,16.21645833,20.05,13.78
2012-10-06,10,5,6,3,1000,41,15.72541667,18.04,14.23
2012-10-07,10,6,7,3,1000,62,10.19708333,14.06,8.3
2012-10-08,10,0,8,3,1016,61,6.79625,8.81,3.99
2012-10-09,10,1,9,3,1009.5,80,6.735,11.44,2.35
2012-10-10,10,2,10,3,1000,53,9.305416667,13.35,6.11
2012-10-11,10,3,11,6,1009.5,59.5,11.01125,13.35,8.05
2012-10-12,10,4,12,5,1015,70,6.651666667,11.18,3.57
2012-10-13,10,5,13,3,1018.5,60,7.841666667,13.15,2.96
2012-10-14,10,6,14,1.5,1028,75,4.308333333,8.73,-0.26
2012-10-15,10,0,15,2,1011,93,12.56125,18.71,7.52
2012-10-16,10,1,16,3,1000,81,12.78083333,16.46,7.84
2012-10-17,10,2,17,3,1000,43.5,7.649166667,11.05,4.92
2012-10-18,10,3,18,3,1008,87,8.604166667,13.93,4.52
2012-10-19,10,4,19,3,1000,66,11.89541667,15.16,10.21
2012-10-20,10,5,20,4,1006,93,10.315,12.97,8.71
2012-10-21,10,6,21,3,1001,86,9.593125,11.1,8.54
2012-10-22,10,0,22,3,1004.5,58,11.098125,16.05,8.38
2012-10-23,10,1,23,3,1000,51,11.051875,17.81,6.98
2012-10-24,10,2,24,4,1017,89,10.77125,13.16,9.56
2012-10-25,10,3,25,3,1000,69,10.00208333,10.9,9.2
2012-10-26,10,4,26,5,1017,87,13.39208333,19.4,10.82
2012-10-27,10,5,27,3,1000,77,12.958125,16.61,9.32
2012-10-28,10,6,28,3,1000,80,8.130416667,9.24,7.71
2012-10-29,10,0,29,3,1017.5,80,6.162083333,7.63,5.3
2012-10-30,10,1,30,5,1012,93,4.565416667,6.1,3.97
2012-10-31,10,2,31,8,993,82,8.36875,11.67,4.07
2012-11-01,11,3,1,3,996,81,7.87625,9.58,7.12
2012-11-02,11,4,2,4,1000,79,6.970416667,8.48,5.21
2012-11-03,11,5,3,5,1003,75,3.720625,5.235,2.55
2012-11-04,11,6,4,3,1015,81.5,2.771666667,4.66,1.32
2012-11-05,11,0,5,2,1019,73.5,1.652291667,3.69,0.42
2012-11-06,11,1,6,5,1013,72,1.69,3.69,0.08
2012-11-07,11,2,7,0,1021,75,-0.07125,2.15,-2.11
2012-11-08,11,3,8,3,1019,61,2.772083333,6.53,0.61
2012-11-09,11,4,9,1,1019.5,69,1.212291667,7.04,-2.85
2012-11-10,11,5,10,1.5,1019,77,4.979166667,9.58,1.22
2012-11-11,11,6,11,3,1000,77,7.44875,8.65,6.16
2012-11-12,11,0,12,3,1013,84,11.38375,16.25,7.37
2012-11-13,11,1,13,3,1000,53,13.16791667,17.48,10.08
2012-11-14,11,2,14,5,1025.5,60.5,3.522083333,9.37,1.73
2012-11-15,11,3,15,0.5,1033,64,2.871875,6.27,1.32
2012-11-16,11,4,16,3,1013,75,3.775208333,5.12,-1.11
2012-11-17,11,5,17,2,1013,69,5.136666667,9.14,-0.99
2012-11-18,11,6,18,1,1036,81,5.108541667,8.88,1.04
2012-11-19,11,0,19,3.5,1037,86,4.895416667,9.33,1.53
2012-11-20,11,1,20,3.5,1031,86,5.072916667,9.05,1.84
2012-11-21,11,2,21,2,1022,90,5.89375,9.38,3.32
2012-11-22,11,3,22,1,1022.5,93,5.239166667,9.52,2.56
2012-11-23,11,4,23,3,1021,90,7.484583333,12.87,4.43
2012-11-24,11,5,24,3,1005,81,9.514166667,10.75,4.96
2012-11-25,11,6,25,8.5,1009,69,0.593333333,2.72,-1.19
2012-11-26,11,0,26,6.5,1012,64,-0.030833333,1.32,-1.26
2012-11-27,11,1,27,7,1015.5,72,1.46,2.95,0.3
2012-11-28,11,2,28,4,1024,59,0.367916667,2.38,-1.54
2012-11-29,11,3,29,7,1022,59,0.3325,2.51,-1.72
2012-11-30,11,4,30,6,1013,68,2.893541667,7.04,-1.11
2012-12-01,12,5,1,9.5,1028.5,74,-2.045791667,4.29,-5.37
2012-12-02,12,6,2,6.5,1027.5,86,-2.469583333,1.84,-5.49
2012-12-03,12,0,3,3,1016,93,7.13125,10.35,1.84
2012-12-04,12,1,4,3,1020,84,7.068333333,9.78,4.53
2012-12-05,12,2,5,5,1014,93,9.85875,12.83,7.3
2012-12-06,12,3,6,5,1020.5,69.5,2.947916667,9.71,-2.04
2012-12-07,12,4,7,3,1028,68,-2.380270833,1.42,-5.65
2012-12-08,12,5,8,1,1015,80,3.416666667,6.7,1.42
2012-12-09,12,6,9,3,1013,91,4.949791667,5.71,2.86
2012-12-10,12,0,10,6,1022.5,69,-1.145833333,1.94,-3.56
